player,position,observations,blockwins,winrate
A.Q. Shipley,C,177,160,0.903954802259887
D.J. Humphries,OT,177,147,0.8305084745762712
J.R. Sweezy,G,170,151,0.888235294117647
Justin Murray,OT,138,120,0.8695652173913043
Justin Pugh,G,172,160,0.9302325581395349
