player,position,observations,blockwins,winrate
Brandon Scherff,G,118,106,0.8983050847457628
Chase Roullier,C,152,135,0.8881578947368421
Donald Penn,T,146,106,0.726027397260274
Ereck Flowers,T,152,131,0.8618421052631579
Morgan Moses,T,140,109,0.7785714285714286
