player,position,observations,blockwins,winrate
Anthony Castonzo,T,164,136,0.8292682926829268
Braden Smith,G,164,126,0.7682926829268293
Mark Glowinski,G,164,138,0.8414634146341463
Quenton Nelson,G,158,138,0.8734177215189873
Ryan Kelly,C,164,150,0.9146341463414634
