player,position,observations,blockwins,winrate
Billy Price,C,100,64,0.64
Bobby Hart,OT,98,80,0.8163265306122449
John Jerry,G,59,39,0.6610169491525424
John Miller,G,52,38,0.7307692307692307
Trey Hopkins,G,100,80,0.8
