player,position,observations,blockwins,winrate
Alex Cappa,G,137,108,0.7883211678832117
Ali Marpet,G,173,144,0.8323699421965318
Demar Dotson,OT,162,129,0.7962962962962963
Donovan Smith,T,162,116,0.7160493827160493
Ryan Jensen,C,173,125,0.7225433526011561
