player,position,observations,blockwins,winrate
Alex Mack,C,181,153,0.8453038674033149
Jake Matthews,T,181,125,0.6906077348066298
James Carpenter,G,109,82,0.7522935779816514
Jamon Brown,G,93,74,0.7956989247311828
Kaleb McGary,T,170,116,0.6823529411764706
Wes Schweitzer,G,102,88,0.8627450980392157
