player,position,observations,blockwins,winrate
Frank Ragnow,C,175,152,0.8685714285714285
Graham Glasgow,C,152,111,0.7302631578947368
Joe Dahl,G,138,114,0.8260869565217391
Kenny Wiggins,G,78,67,0.8589743589743589
Rick Wagner,T,130,98,0.7538461538461538
Taylor Decker,T,176,138,0.7840909090909091
Tyrell Crosby,T,71,47,0.6619718309859155
