player,position,observations,blockwins,winrate
Alejandro Villanueva,T,178,150,0.8426966292134831
B.J. Finney,C,54,42,0.7777777777777778
David DeCastro,G,178,152,0.8539325842696629
Matt Feiler,T,178,145,0.8146067415730337
Maurkice Pouncey,C,141,122,0.8652482269503546
Ramon Foster,G,149,115,0.7718120805369127
