player,position,observations,blockwins,winrate
Daniel Kilgore,C,145,118,0.8137931034482758
Evan Boehm,G,62,42,0.6774193548387096
J'Marcus Webb,T,58,43,0.7413793103448276
Jesse Davis,G,128,89,0.6953125
Julie'n Davenport,T,87,65,0.7471264367816092
Michael Deiter,OG,133,96,0.7218045112781954
Shaq Calhoun,G,64,35,0.546875
