player,position,observations,blockwins,winrate
Connor Williams,G,108,90,0.8333333333333334
La'el Collins,T,150,119,0.7933333333333333
Travis Frederick,C,166,136,0.8192771084337349
Tyron Smith,T,135,105,0.7777777777777778
Zack Martin,G,166,147,0.8855421686746988
