player,position,observations,blockwins,winrate
Brandon Brooks,G,159,131,0.8238993710691824
Halapoulivaati Vaitai,T,67,38,0.5671641791044776
Isaac Seumalo,G,178,147,0.8258426966292135
Jason Kelce,C,178,150,0.8426966292134831
Jason Peters,OT,136,98,0.7205882352941176
Lane Johnson,T,115,93,0.808695652173913
