player,position,observations,blockwins,winrate
Isaiah Wynn,T,79,61,0.7721518987341772
Joe Thuney,G,171,143,0.8362573099415205
Marcus Cannon,T,156,97,0.6217948717948718
Marshall Newhouse,T,106,76,0.7169811320754716
Shaq Mason,G,161,137,0.8509316770186336
Ted Karras,C,157,137,0.8726114649681529
